_key,link,nutritional_info/Grasimi,nutritional_info/Valoare energetica,nutritional_info/Glucide,nutritional_info/Fibre,nutritional_info/Sodiu,nutritional_info/Proteine,nutritional_info/Grasimi saturate,Ingrediente,Alergeni
Biscuiti cu cacao si crema de lapte 190g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-cu-crema/Biscuiti-cu-cacao-si-crema-de-lapte-190g/p/1342,33 g/100 g,549 kcal/100 g,55 g/100 g,N/A,0.61 g/100 g,6.9 g/100 g,22 g/100 g,"Faina de GRAU, grasimi vegetale (palmier), zahar, LAPTE praf integral (4.6%), produse din ZER (LAPTE), cacao pudra cu continut redus de grasime (3.6%), sirop de zahar invertit, agenti de afanare, carbonati de amoniu si carbonati de sodiu, emulsifiant: lecitine, sare, arome (LAPTE), corector de aciditate: acid citric.","Contine: gluten si lapte. Poate contine urme de oua, migdale si alune."
Biscuiti Soft bakes cu ciocolata 250g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-simpli/Biscuiti-Soft-bakes-cu-ciocolata-250g/p/3248,15 g/100 g,408 kcal/100 g,62 g/100 g,6.9 g/100 g,0.59 g/100 g,5.3 g/100 g,2 g/100 g,"Cereale 40.4% (faina de GRAU 21.7%, cereale integrale 16.6% (hrisca integrala sfaramata 6.3%, gris de OVAZ 6.3%, faina integrala de ORZ 1%, faina integrala de GRAU SPELT 1%, fulgi de OVAZ 1%, faina integrala de GRAU 1%), faina de orez 2%, faina de malt din GRAU 0.1%), zahar, ulei de rapita, amidon modificat, inulina, simaltuloza, agent de umezire (glicerol), amidon, cacao cu continut redus de grasime 2%, ulei de palmier, minerale (carbonat de calciu, carbonat de magneziu, fier elementar), emulsiant (lecitina din SOIA), agent de de incarcare (maltitoli), sare, agent de afanare (carbonati de sodiu), gluten din GRAU, dextroza, arome.","Grau, ovaz, orz, soia. Poate contine lapte."
"Specialitati crocante de nuca de cocos, cu migdala intreaga in interior 80g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Specialitati-crocante-de-nuca-de-cocos-cu-migdala-intreaga-in-interior-80g/p/56018,48.6 g/100 g,628 kcal/100 g,38.3 g/100 g,N/A,0.305 g/100 g,7.2 g/100 g,29.7 g/100 g,"Nuca de cocos deshidratata (25.5%), grasime vegetale (palmier, shea), zahar, MIGDALA, (8%), LAPTE praf degresat, ZER praf, faina de GRAU, amidon de tapioca, emulgator (lecitina din SOIA), arome, agent de afanare (bicarbonat de sodiu), sare.","Contine: migdale, lapte, gluten si soia."
Ciocolata lapte cu napolitana si crema cu aroma rom 50g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Napolitane/Ciocolata-lapte-cu-napolitana-si-crema-cu-aroma-rom-50g/p/27960,36 g/100 g,561 kcal/100 g,52 g/100 g,N/A,0.17 g/100 g,6 g/100 g,20 g/100g,"Crema cu aroma de rom 47%?zahar, uleiuri vegetale(Ulei de palmier, ULEI de floarea soarelui in proportii variate), LAPTE praf degresat, grasimi vegetale( ulei de palmier), zer pudra(din lapte), pudra de cacao cu continut redus de grasime, emulsifiant(lecitina din SOIA), aroma (rom)?, ciocolata lapte 46%?zahar, unt de cacao, masa de cacao, LAPTE praf integral, emulsifiant(lecitina din soia), aroma?, napolitana 7%? faina de GRAU, zahar, grasimi vegetale(ulei de palmier, ulei din samburi de palmier), zer pudra(din lapte), ulei vegetal(ulei de palmier), pudra de cacao cu continut redus de grasime, faina de SOIA, agent de afanare(carbonat acid de sodiu), sare, amidon de porum, colorant(caramel sulfit de amoniu), aroma?. Ciocolata cu lapte contine: substanta uscata de cacao 37%, substanta uscata din lapte minumum 14%.","Lapte, soia. Poate contine urme de arahide, fructe cu coaja lemnoasa, cocos, seminte de susan, oua."
Migdale crude 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Seminte-alune-si-fructe-uscate/Fistic-caju-si-migdale/Migdale-crude-200g/p/32845,52.6 g/100 g,622 kcal/100 g,2.4 g/100 g,15 g/100 g,0.03 g/100 g,27.3 g/100 g,3.8 g/100 g,MIGDALE crude (FRUCTE cu coaja lemnoasa).,Contine fructe cu coaja lemnoasa. Poate contine urme de arahide si alte fructe cu coaja lemnoasa.
Saratele cu chimen 110g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Covrigei-si-mixuri/Saratele-cu-chimen-110g/p/33391,7 g/100 g,412 kcal/100 g,74 g/100 g,3.3 g/100 g,3.5 g/100 g,12 g/100 g,0.6 g/100 g,"Faina alba de GRAU (origine Romania), ulei vegetal din floarea soarelui, chimen 3.6%, sare iodata 3%, cascaval 2% (LAPTE, culturi lactice, cheag, sare), LAPTE praf degresat, agent de afanare: bicarbonat de amoniu, emulsifiant: lecitina din floarea soarelui, antioxidant: extract de rozmarin.","Gluten, lapte. Poate contine seminte de susan."
Halva cu cacao 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Nuga-halva-si-rahat/Halva-cu-cacao-200g/p/36780,39 g/100 g,568 kcal/100 g,37.60 g/100 g,5.30 g/100 g,0.11 g/100 g,14 g/100 g,6.2 g/100 g,"Miez de seminte de floarea-soarelui prajit si pasat 58% (origine: Romania), sirop de glucoza, zahar, cacao pudra cu continut redus de grasime 2% (origine: din UE), agent de spumare: extract de ciuin, aroma de rom.",N/A
Croissant cu crema de cacao 90g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Croissant/Croissant-cu-crema-de-cacao-90g/p/40448,19.20 g/100 g,425 kcal/100 g,55.30 g/100 g,N/A,0.39 g/100 g,7.80 g/100 g,5.90 g/100 g,"Faina alba de GRAU, crema de cacao 25% (zahar, ulei vegetal nehidrogenat de palmier, apa, sirop de glucoza, LAPTE praf tip 26%, amidon, cacao pudra (4,5%), alcool etilic, conservant (sorbat de potasiu 0,1%), aroma), zahar, margarina (uleiuri vegetale (palmier, floarea soarelui/rapita), uleiuri vegetale partial hidrogenate (palmier)), apa, dextroza, sirop de glucoza, drojdie, praf de OU, ZER praf, sare iodata (0,5%), emulgator (mono, digliceride ale acizilor grasi), conservant (proprionat de calciu 0,1%), premix ?emulsifiant (stearoil-2-lactilat de sodiu (E481) ?palmier?), arome, antiaglomerant (carbonat de calciu (E170)), colorant (caroteni (E160a)), antioxidant (acid ascorbic (E300, enzime)).","Gluten, lactoza, soia, praf de ou."
Croissant glazurat cu crema de cacao 90g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Croissant/Croissant-glazurat-cu-crema-de-cacao-90g/p/41840,23.5 g/100 g,452 kcal/100 g,54.2 g/100 g,N/A,0.26 g/100 g,5.8 g/100 g,8.3 g/100 g,"faina alba de GRAU, glazura de cacao 25%, zahar, ulei vegetal hidrogenat de palmier, ZER praf, cacao 4.5%, emulgator (lecitina de SOIA, radiamuls sorb 2345, radiamuls poly 2253), crema de cacao 15% (zahar, ulei vegetal nehidrogenat de palmier, apa, sirop de glucoza, LAPTE praf tip 26%, amidon, cacao pudra 4.5%, alcool etilic, conservant (sorbat de potasiu 0.1%, aroma), zahar, margarina (uleiuri vegetale (palmier, floarea soarelui / rapita) si uleiuri vegetale partial hidrogenate (palmier), apa,dextroza, sirop de glucoza, drojdie, praf de OU, ZER praf, sare iodata 0.5%, emulgator (mono si digliceride ale acizilor grasi), conservant (propionat de calciu 0.1%), premix (emulsifiant (stearoil-2-lactilat de sodiu E481 (palmier)), arome, antiaglomerant (carbonat de calciu E170), colorant (caroten E160a), antioxidant (acid ascorbic E300), enzime).","Contine: gluten, lactoza, soia, praf de ou."
Pufuleti din porumb cu gust de cascaval 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Snacks-uri-si-pufuleti/Pufuleti-din-porumb-cu-gust-de-cascaval-80g/p/45610,23 g/100 g,479 kcal/100 g,62 g/100 g,1.6 g/100 g,3.2 g/100 g,6.1 g/100 g,2.1 g/100 g,"faina de porumb 66%, ulei de rapita, mix de ingrediente cu gust de CASCAVAAL (ZER pudra din LAPTE, sare, dextroza, potentiatori de aroma (monoglutamat de sodiu, guanilat disodic, inozinat disodic), arome (contin LAPTE, SOIA), colorant (extract de ardei rosu)).","Contine lapte si soia. Poate contine: arahide, grau si alte cereale care contin gluten."
Snacks cu gust de cascaval si sunca 95g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Snacks-uri-si-pufuleti/Snacks-cu-gust-de-cascaval-si-sunca-95g/p/45603,24 g/100 g,494 kcal/100 g,62 g/100 g,1.70 g/100 g,1.60 g/100 g,6.10 g/100 g,2.10 g/100 g,"Faina de porumb 70%, ulei de rapita, mix de ingrediente cu gust de CASCAVAL si sunca (ZER pudra din LAPTE, sare, dextroza, potentiatori de aroma (monoglutamat de sodiu, guanilat disodic, inozinat disodic), zahar, arome (contin LAPTE, SOIA), clorura de potasiu, colorant (extract de ardei rosu)).","Lapte, soia. Poate contine arahide, grau si alte cereale care contin gluten."
Arahide prajite si sarate 500g,https://www.mega-image.ro/Dulciuri-si-snacks/Seminte-alune-si-fructe-uscate/Arahide-si-alune/Arahide-prajite-si-sarate-500g/p/42936,53.6 g/100 g,631 kcal/100 g,5.9 g/100 g,10.5 g/100 g,0.74 g/100 g,25.9 g/100 g,9.1 g/100 g,"ARAHIDE decojite 89%, ulei de palmier 8%, sare de mare iodata max. 2% (sare de mare, iodura de potasiu), ulei de floarea-soarelui 1%.",Contine arahide. Poate contine urme de fructe cu coaja lemnoasa.
"Seminte de dovleac, coapte si sarate 100g",https://www.mega-image.ro/Dulciuri-si-snacks/Seminte-alune-si-fructe-uscate/Seminte/Seminte-de-dovleac-coapte-si-sarate-100g/p/42933,48.3 g/100 g,599 kcal/100 g,1.7 g/100 g,6.5 g/100 g,0.18 g/100 g,36.1 g/100 g,8.1 g/100 g,"Seminte de dovleac 97%, sare de mare iodata 3% (sare de mare, iodura de potasiu).","Poate contine urme de arahide, fructe cu coaja lemnoasa."
Stafide aurii 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Seminte-alune-si-fructe-uscate/Fructe-deshidratate-si-confiate/Stafide-aurii-200g/p/43059,1 g/100 g,333 kcal/100 g,76.10 g/100 g,3.80 g/100 g,0.02 g/100 g,3 g/100 g,0.40 g/100 g,"Stafide aurii din struguri fara samburi 99.8%, ulei vegetal de floarea soarelui, conservant: DIOXID DE SULF.","Sulfiti. Poate contine urme de fructe cu coaja lemnoasa, arahide."
Miez copt de seminte de floarea soarelui 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Seminte-alune-si-fructe-uscate/Seminte/Miez-copt-de-seminte-de-floarea-soarelui-100g/p/43020,57.20 g/100 g,639 kcal/100 g,3.80 g/100 g,11.50 g/100 g,1.80 g/100 g,21.70 g/100 g,5.80 g/100 g,"Miez de seminte de floarea soarelui 97%, sare de mare iodata maxim 3% (sare de mare, iodura de potasiu).",N/A
Snack din cartofi Original 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Snacks-uri-si-pufuleti/Snack-din-cartofi-Original-80g/p/2659,28 g/100 g,515 kcal/100 g,61 g/100 g,N/A,1.50 g/100 g,3.10 g/100 g,2.50 g/100 g,"Cartofi pudra 31%, ulei de floarea soarelui 28%, amidon din cartofi 22%, amidon modificat (tapioca, cartofi), sare iodata 1% (sare, iodat de potasiu), zahar, sare 0.3% , extract de drojdie, emulsifiant (lecitine din SOIA), boia de ardei.","Soia. Poate contine urme de cereale care contin gluten (secara, ovaz, grau spelt ), lapte."
Ciocolata neagra 99% cacao 50g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-neagra-99-cacao-50g/p/6376,49 g/100 g,590 kcal/100 g,8 g/100 g,N/A,0.06 g/100 g,13.2 g/100 g,30 g/100 g,"Masa de cacao, cacao cu continut redus de grasime, unt de cacao, zahar Demerara.","Poate contine lapte, soia, si fructe in coaja tare."
Baton de ciocolata cu Oreo 37g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-ciocolata-cu-Oreo-37g/p/28665,33 g/100 g,548 kcal/100 g,56 g/100 g,1.6 g/100 g,0.52 g/100 g,5.6 g/100 g,19 g/100 g,"Zahar, grasime vegetala de palmier, faina de GRAU, unt de cacao, LAPTE praf degresat, zer praf (LAPTE), masa de cacao, grasime din LAPTE, cacao cu continut redus de grasimi 1%), amidon din GRAU, emulsifianti (lecitina din SOIA, lecitina din floarea soarelui), agenti de afanare (carbonati de potasiu, carbonati de amoniu, carbonati de sodiu), sare, arome, pasta de ALUNE de padure, contine sirop de glucoza si/sau sirop de glucoza-fructoza. Crema cu LAPTE contine 7% LAPTE praf degresat.","Contine: lapte, alune de padure, soia si gluten."
Batoane B-ready 2x22g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Batoane-B-ready-2x22g/p/27284,27 g/100 g,521 kcal/100 g,60.4 g/100 g,N/A,0.508 g/100 g,7.3 g/100 g,N/A,"Crema de alune de padure cu cacao 81.5% (zahar, ulei de palmier, alune de padure (13%), cacao degresata pudra (7.4%), lapte praf degresat (6.6%), zer praf, emulgator (lecitina soia), vanilina), napolitana 16% (faina de grau, drojdie, extract pudra de malt din orz, sare, lapte praf degresat, emulgator (lecitina din soia), proteine din grau, proteine din lapte), specialitati crocante de grau 2% (faina de grau, drojdie, extract pudra de malt din orz, sare, lapte praf degresat, emulgator (lecitina de soia), proteine din grau, proteine din lapte).","Lapte, alune, zer, soia, orz, lapte."
Chipsuri ondulate cu gust picant Piri-piri 130g,https://www.mega-image.ro/Dulciuri-si-snacks/Chipsuri/Alte-arome/Chipsuri-ondulate-cu-gust-picant-Piri-piri-130g/p/56899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Covrigei cu multi cereale 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Covrigei-si-mixuri/Covrigei-cu-multi-cereale-200g/p/50326,15.2 g/100 g,443 kcal/100 g,62.6 g/100 g,5.2 g/100 g,2.4 g/100 g,11.2 g/100 g,2.3 g/100 g,"Faina de GRAU tanar 00, faina de GRAU tanar 0, faina SECARA tip 2, faina de GRAU ars, faina de ORZ, faina de OVAZ, DROJDIE naturala din praf de faina de GRAU de tip 0, faina din malt de GRAU, agent de tratare a fainii (acid ascorbic, amilaza), vin alb (contine SULFITI), ulei de masline, ulei extra-virgin de masline 6%, seminte de floarea soarelui, seminte de SUSAN, seminte de dovleac, seminte de in), sare.","Contine gluten, sulfiti si susan. Poate contine urme de soia si derivate din lapte."
Snack cu mix de seminte 180g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Covrigei-si-mixuri/Snack-cu-mix-de-seminte-180g/p/19235,10.1 g/100 g,432.9 kcal/100 g,75.9 g/100 g,2.2 g/100 g,2 g/100 g,8.9 g/100 g,2.8 g/100 g,"Faina alba de grau, grasime vegetala, zahar, extract de malt din orz, mix seminte 5% (susan alb, mac, chimen, in, susan negru), sare, emulsificator: lecitina de soia, agent de afanare: bicarbonat de sodiu, regulator de aciditate: E524.","Contine gluten, susan si soia."
Biscuiti crocanti din faina integrala 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-simpli/Biscuiti-crocanti-din-faina-integrala-200g/p/82138,19 g/100 g,447 kcal/100 g,66 g/100 g,7.5 g/100 g,0.78 g/100 g,8.3 g/100 g,1.90 g/100 g,"Faina integrala de GRAU (67%), zahar, ulei de floarea soarelui 8%, ulei de palmier, sirop de glucoza, extract de mar, agenti de afanare: carbonati de sodiu, difosfati, emulsifiant: lecitine (SOIA), sare, LAPTE praf degresat, aroma (LAPTE), amidon (GRAU), OU integral praf de gaina, acidifiant: acid citric.","Contine gluten, lapte, oua si soia."
Ciocolata cu lapte alpin si continut ridicat de cacao 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-alpin-si-continut-ridicat-de-cacao-100g/p/75171,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Biscuiti cu cereale, miere, alune si bucati de ciocolata 300g",https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-simpli/Biscuiti-cu-cereale-miere-alune-si-bucati-de-ciocolata-300g/p/72841,15 g/100 g,446 kcal/100 g,67 g/100 g,4.3 g/100 g,0.89 g/100 g,7.5 g/100 g,1.8 g/100 g,"Cereale 61.5% (faina de GRAU 41.4%, cereale integrale 20.1% (fulgi de OVAZ 12.3%), faina integrala de GRAU 3.2%, faina integrala de ORZ 2.6%, faina integrala de GRAU spelt 1%, faina integrala de SECARA 1%), zahar, ulei de rapita, bucatele de ciocolata 3% ((zahar, masa de ccao, grasimi vegetale (palmier, shea in proportii variabile), dextroza, unt de cacao, emulsifiant (lecitine din SOIA)), ALUNE de padure 2.5%, miere 2%, minerale (carbonat de calciu, carbonat de magneziu, fier elementar), agentide afanare (carbonati de sodiu, carbonati de amoniu), sare, corector de aciditate (acid citric), emulsifiant (lecitine din SOIA)), arome.","Contine gluten, soia, alune de padure. Poate contine ou, lapte."
Biscuiti cu crema de cacao 30g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-cu-crema/Biscuiti-cu-crema-de-cacao-30g/p/71421,15.7 g/100 g,475.7 kcal/100 g,74.1 g/100 g,N/A,0.17 g/100 g,7.9 g/100 g,7.85 g/100 g,"Faina de GRAU, zahar, zahar invertit, grasimi vegetale nehidrogenate (ulei de palmier), apa, amidon din porumb, cacao 1.6%, agenti de afanare (bicarbonat de amoniu, bicarbonat de sodiu), sare iodata, emulsifiant (lecitina de SOIA), ameliator de faina (METABISULFIT de sodiu), acidifiant (acid citric), aroma. Continut de crema: 30%.","Produsul contine gluten, soia, sulfiti."
Rulada cu crema cacao 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Prajituri-si-rulade/Rulada-cu-crema-cacao-200g/p/29504,14 g/100 g,390 kcal/100 g,60 g/100 g,N/A,0.75 g/100 g,4.5 g/100 g,7 g/100 g,"Umplutura de cacao 30% (uleiuri vegetale, sirop de glucoza, sirop de zahar invertit, dextroza, cacao pudra cu continut scazut de grasime 4%, alcool, sare iodata, conservant (sorbat de potasiu 0.2%)), faina de grau, zahar, oua, sirop de glucoza, sirop de zahar invertit, umectanti (sorbitol, glicerol), ulei vegetal, cacao pudra cu continut scazut de grasime, decor (zahar, ulei vegetal partial hidrogenat, lapte praf degresat, praf de zer din lapte, cacao pudra cu continut scazut de grasime, emulgator (lecitina din soia), arome), emulgatori (mono- si digliceride ale acizilor grasi, esteri de proglicerol ai acizilor grasi, saruri de sodiu ale acizilor grasi, lecitina din soia), agenti de afanare (pirofosfat acid de sodiu, bicarbonat de sodiu, bicarbonat de amoniu, alcool, arome, sare iodata, acidifiant (acid citric), conservant (sorbat de potasiu 0.2%), stabilizator (guma de xantan).","Produsul poate contine urme de: arahide, alune, nuci."
Seminte pestrite de floarea-soarelui usor sarate si prajite 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Seminte-alune-si-fructe-uscate/Seminte/Seminte-pestrite-de-floarea-soarelui-usor-sarate-si-prajite-100g/p/87534,26 g/100 g,426 kcal/100 g,12 g/100 g,N/A,1.5 g/100 g,17 g/100 g,2.7 g/100 g,"Seminte pestrite de floarea-soarelui, sare (1.5%).",N/A
Trufe de ciocolata asortate 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Trufe-de-ciocolata-asortate-200g/p/92369,49 g/100 g,629 kcal/100 g,41 g/100 g,N/A,0.12 g/100 g,4.7 g/100 g,N/A,"Zahar, grasimi vegetale, unt de cacao, masa de cacao, lapte praf integral, lapte praf degresat, grasimi din unt, lactoza, alune, emulsificator: lecitina din soia, extract de malt din orz, arome: vanilie.","Ciocolata cu lapte contine substanta uscata de cacao 32% minimum, ciocolata amaruie contine substanta uscata de cacao 60% minimum. Poate contine urme de migdale."
Biscuiti caramelizati 250g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-simpli/Biscuiti-caramelizati-250g/p/90759,19 g/100 g,484 kcal/100 g,72.6 g/100 g,N/A,0.92 g/100 g,4.9 g/100 g,8 g/100 g,"Faina de GRAU, zahar, grasimi vegetale (palmier, seminte de rapita), sirop de candel, agenti de afanare (carbonat hidrogenat de sodiu), faina de SOIA, sare, scortisoara.","Grau, soia."
Biscuiti cu cacao si crema cu aroma de ciocolata 72g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Biscuiti-cu-crema/Biscuiti-cu-cacao-si-crema-cu-aroma-de-ciocolata-72g/p/90281,18.3 g/100 g,471 kcal/100 g,69.4 g/100 g,0.2 g/100 g,0.8 g/100 g,6.9 g/100 g,8.4 g/100 g,"Faina alba de GRAU, zahar, grasime vegetala nehidrogenata de palmier, cacao pudra 3% cu continut redus de grasime, sirop de glucoza, sirop de zahar invertit, amidon din porumb, LAPTE praf degresat, ZER praf (LAPTE), sare iodata, agenti de afanare (carbonat acid de sodiu, carbonat acid de amoniu, pirofosfat acid de sodiu), emulsifiant (lecitina de SOIA), arome.","Contine gluten, lapte si soia. Poate contine urme de alune de padure, oua si seminte de susan."
"Specialitati crocante de nuca de cocos, cu migdala intreaga in interior 230g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Specialitati-crocante-de-nuca-de-cocos-cu-migdala-intreaga-in-interior-230g/p/97003,48.3 g/100 g,627 kcal/100 g,38.6 g/100 g,N/A,0.267 g/100 g,7.4 g/100 g,29.50 g/100 g,"Nuca de cocos deshidratata 23.5%, zahar, ulei vegetal, grasime vegetala, migdala (8%), lapte praf degresat, zer praf, faina de grau, arome, emulgator: lecitina (soia), sare, agent de afanare (bicarbonat de sodiu).","Contine lapte, gluten si soia, migdala."
Ciocolata cu lapte si crema de rom 88g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-si-crema-de-rom-88g/p/9655,22 g/100 g,476 kcal/100 g,63 g/100 g,N/A,0.25 g/100 g,4.3 g/100 g,13 g/100 g,"Zahar, masa de cacao, lapte praf integral, unt de cacao, sirop de glucoza, grasime vegetala (palmier, shea), grasime vegetala partial hidrogenata (soia, palmier, shea), pudra de cacao cu continut redus de grasime, agent de umezire (sorbitol), alcool etilic rafinat de origine agricola, lapte praf degresat, rom 0.1%, stabiliziator (invertaza), emulsifinat (lecitina din soia), arome. Contine alcool: max 1.5%.","Contine si alte grasimi vegetale pe langa untul de caco. Poate contine urme de arahide, alune, gluten din grau si orz, ou."
Prajitura cu crema Moccacino 350g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Prajituri-si-rulade/Prajitura-cu-crema-Moccacino-350g/p/73629,18.2 g/100 g,319 kcal/100 g,51.5 g/100 g,1.0 g/100 g,0.5 g/100 g,5.5 g/100 g,N/A,"Faina alba de grau, zahar, grasime vegetala, apa, crema moccacino 13% (sirop de glucoza - fructoza, zahar, apa, grasime vegetala, dextroza, lapte praf degresat, galbenus de ou, alcool etilic, cacao pudra, agent de gelifiere: pectina, cafea instant, conservant: sorbat de potasiu, arome), praf de oua, sirop de glucoza, amidon de grau, agenti de umezire: propilenglicol, glicerina, agenti de afanare: difosfat disodic, bicarbonat de sodiu, emulsificator: esteri poligliceridici ai acizilor grasi, cacao pudra, zahar brun, agenti de ingrosare: amidon modificat de porumb, celuloza, guma xantan, sare iodata, regulator de aciditate: acid citric, conservant: acid sorbic, colorant: zahar ars, arome.","Contine: gluten, ou, lactoza. Poate contine urme de alune si soia."
Covrigei cu faina integrala 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Popcorn-covrigei-si-pufuleti/Covrigei-si-mixuri/Covrigei-cu-faina-integrala-100g/p/9079,15.7 g/100 g,361 kcal/100 g,50.5 g/100 g,2.3 g/100 g,1.7 g/100 g,7.5 g/100 g,2.5 g/100 g,"Faina alba de grau, vin alb, ulei din samburi de masline, tarate 6%, sare, ulei extravirgin de masline, extract natural de masline.",Contine gluten si sulfiti. Poate contine urme de telina si susan.
Napolitana sandwich cu ciocolata si alune 25g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Napolitane/Napolitana-sandwich-cu-ciocolata-si-alune-25g/p/70210,26 g/100 g,513 kcal/100 g,60 g/100 g,N/A,0.38 g/100 g,8.3 g/100 g,19 g/100 g,"Faina din GRAU, ulei de nuci de cocos, sirop de glucoza, zahar, alune 9% in crema, zer pudra (LAPTE), faina de SOIA, LAPTE praf degresat, cacao degresata, dextroza, extract de malt din ORZ, agenti de crestere (carbonat hidrogen de sodiu, difosfat disodic), sare, emulgator (lecitina din SOIA), batoane de vanilie Bourbon, condimente.","Grau, lapte, soia, orz. Poate contine migdale."
Napolitana crocanta cu crema de ciocolata neagra 25g,https://www.mega-image.ro/Dulciuri-si-snacks/Napolitane-biscuiti-si-prajituri/Napolitane/Napolitana-crocanta-cu-crema-de-ciocolata-neagra-25g/p/70209,24 g/100 g,500 kcal/100 g,60 g/100 g,N/A,0.35 g/100 g,7.9 g/100 g,20 g/100 g,"Faina de GRAU, ulei de nuci de cocos, sirop de glucoza, zahar, cacao degresata, dextroza, ciocolata amaruie 8% in crema (masa de cacao, zahar), faina de SOIA, zer pudra (LAPTE), LAPTE praf degresat, extract de malt de ORZ, agenti de crestere (carbonat hidrogen de sodiu, difosfat disodic), ALUNE, sare, emulgator lecitina de SOIA, batoane de vanilie Bourbon, condimente.","Contine grau, lapte, soia, orz si alune. Poate contine migdale."
Arahide coapte si sarate 300g,https://www.mega-image.ro/Dulciuri-si-snacks/Seminte-alune-si-fructe-uscate/Arahide-si-alune/Arahide-coapte-si-sarate-300g/p/52855,49.2 g/100 g,607 kcal/100 g,19.2 g/100 g,10.1 g/100 g,1.55 g/100 g,26.8 g/100 g,5.83 g/100 g,"ARAHIDE, sare iodata max.2%.",Arahide.
Ciocolata cu lapte 270g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-270g/p/54096,29 g/100 g,530 kcal/100 g,59 g/100 g,1.8 g/100 g,0.37 g/100 g,6.3 g/100 g,18 g/100 g,"Zahar, unt de cacao, LAPTE praf degresat, masa cacao, zer praf (LAPTE), grasime din LAPTE, emulsifiant (lecitina din SOIA), pasta de ALUNE de padure, aroma naturala. Cacao: 30% minimum.","Contine: lapte, alune de padure si soia. Poate contine alte fructe cu coaja lemnoasa si grau."
