Product name,link,nutritional_info/Grasimi,nutritional_info/Valoare energetica,nutritional_info/Glucide,nutritional_info/Fibre,nutritional_info/Sodiu,nutritional_info/Proteine,nutritional_info/Grasimi saturate,Ingrediente,Alergeni
"Specialitati crocante de nuca de cocos, cu migdala intreaga in interior 40g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Specialitati-crocante-de-nuca-de-cocos-cu-migdala-intreaga-in-interior-40g/p/30082,48.6 g/100 g,628 kcal/100 g,38.3 g/100 g,N/A,0.305 g/100 g,7.2 g/100 g,29.7 g/100 g,"Nuca de cocos deshidratata 23,5%, zahar, ulei vegetal, grasime vegetala, migdala (8%), lapte praf degresat, zer praf, faina de grau, arome, emulgator: lecitina din (soia), sare, agent de afanare (bicarbonat de sodiu).",N/A
Ciocolata cu lapte si alune de padure caramelizate 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-si-alune-de-padure-caramelizate-100g/p/29905,36 g/100 g,558 kcal/100 g,50 g/100 g,N/A,0.11 g/100 g,7.3 g/100 g,23 g/100 g,"Zahar, ALUNE de padure intregi caramelizate 23% (ALUNE DE PADURE intregi 89%, zahar, emulsifiant (lecitine (contine SOIA)), unt de cacao, masa de cacao, LAPTE praf integral, LAPTE praf degresat, emulsifiant (lecitine (contine SOIA)), aroma de vanilie naturala.","Alune de padure, lapte, soia. Poate contine urme de: alte fructe cu coaja lemnoasa si gluten."
Bomboane de ciocolata cu lapte 125g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Bomboane-de-ciocolata-cu-lapte-125g/p/62802,36.6 g/100 g,576 kcal/100g,52.2 g/100 g,N/A,0.28 g/100 g,8.3 g/100 g,21.2 g/100 g,"Ciocolata cu lapte 50% (zahar, lapte praf integral, unt de cacao, masa de cacao, emulgator: lecitina (soia), aroma), zahar, lapte praf degresat, grasime vegetala, alune (5.8%), unt deshidratat, ciocolata (zahar, masa de cacao, unt de cacao, emulgator: lecitina (soia), aroma), agenti de glazurare (guma arabica, selac), sirop de glucoza, emulgator: lecitina (soia), arome. Substanta uscata de cacao min. 30% in ciocolata cu lapte, min.35% in ciocolata. Total lapte in substanta solida uscata: 28%.Total constituenti cacao 16%.","Contine: lapte, alune, unt si soia."
Ciocolata mini 120g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Ciocolata-mini-120g/p/51822,35 g/100 g,566 kcal/100 g,53.5 g/100 g,N/A,0.313 g/100 g,8.7 g/100 g,22.6 g/100 g,"Ciocolata cu LAPTE 40% (zahar, LAPTE praf integral, unt de cacao, masa de cacao, emulgator (lecitina SOIA), vanilina), zahar, LAPTE praf degresat (18%), ulei de palmier, UNT deshidratat, emulgator (lecitina de SOIA), vanilina.","Lapte, unt, soia."
Ciocolata alba cu alune de padure intregi caramelizate si fulgi de porumb 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-alba-cu-alune-de-padure-intregi-caramelizate-si-fulgi-de-porumb-100g/p/42924,39 g/100 g,576 kcal/100 g,49 g/100 g,N/A,0.16 g/100 g,7.8 g/100 g,25 g/100 g,"Zahar, ALUNE DE PADURE caramelizate 23% (ALUNE DE PADURE 89%, zahar, emulsifiant (lecitine (contine SOIA)), unt de cacao, LAPTE praf integral, LAPTE praf degresat, fulgi de porumb 3% (malai de porumb 94%, zahar, extract de malt din ORZ, sare iodata, antioxidant natural (extract bogat in tocoferol), emulsifiant (lecitina).","Alune de padure, lapte, gluten si soia. Poate contine urme de alte fructe cu coaja lemnoasa."
Ciocolata amaruie cu cafea 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-amaruie-cu-cafea-80g/p/37534,34.0 g/100 g,535 kcal/100 g,49.0 g/100 g,N/A,0.01 g/100 g,4.3 g/100 g,22 g/100 g,"Zahar, masa de cacao, unt de cacao, cafea macinata 2%, emulsificator: lecitine (contine SOIA), aroma de vanilie naturala, aroma. Substanta uscata de cacao in ciocolata: 50% minimum.","Contine: soia. Poate contine urme de fructe cu coaja lemnoasa, gluten si lapte."
Ciocolata cu lapte si alune 300g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-si-alune-300g/p/36772,36 g/100 g,561 kcal/100 g,50 g/100 g,N/A,0.19 g/100 g,7.8 g/100 g,17 g/100 g,"Zahar, unt de cacao, ALUNE (15%), LAPTE praf integral, masa de cacao, LACTOZA, LAPTE praf degresat, emulsifiant: lecitina din SOIA, extract de malt din ORZ, arome.","Contine: alune, lapte, soia si gluten. Poate contine migdale si alte fructe in coaja tare."
Baton de lapte si unt 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-lapte-si-unt-80g/p/9217,16.7 g/100 g,434 kcal/100 g,62.2 g/100 g,3.0 g/100 g,0.39 g/100 g,7.3 g/100 g,10 g/100 g,"Zahar, LAPTE praf minim 32%, UNT minim 15% (LAPTE), pudra de cacao fara grasime, aroma de vanilie, conservant: sorbat de potasiu.","Contine lapte. Poate contine urme de: arahide, seminte de susan, fructe cu coaja lemnoasa, ou."
Ciocolata cu miez usor si crocant 68g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Ciocolata-cu-miez-usor-si-crocant-68g/p/31128,25 g/ 100 g,503 kcal/ 100 g,62 g/ 100 g,N/A,0.42 g/ 100 g,8.1 g/ 100 g,N/A,"Zahar, LAPTE praf degresat, unt de cacao, sirop de glucoza, extract de malt din ORZ, masa de cacao, grasime de palmier, LACTOZA si proteina din zer (din LAPTE),pPudra de zer (din LAPTE), grasimi din LAPTE, emulsifianti (lecitina din SOIA, E492), faina de GRAU, grasime de samburi de palmier, ulei de samburi de palmier, agenti de afanare (E341, E500, E501), gluten de GRAU, sare, agent de glazurare (pectine), extract natural de vanilie","orz, lapte, soia, grau. Ciocolata cu lapte con?ine si alte grasimi vegetale pe langa unt de cacao."
"Napolitana cu glazura de ciocolata, crema de lapte si alune de padure 5x43g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Napolitana-cu-glazura-de-ciocolata-crema-de-lapte-si-alune-de-padure-5x43g/p/34393,37.3 g/100 g,572 kcal/100 g,49.5 g/100 g,N/A,0.272 g/100 g,8.6 g/100 g,17.3 g/100 g,"Ciocolata cu LAPTE 31.5% (zahar, unt de cacao, masa de cacao, LAPTE praf degresat, UNT deshidratat, emulsifiant: lecitina de SOIA, vanilina), zahar, ulei de palmier, faina de GRAU, ALUNE de padure 10.8%, LAPTE praf degresat (8.5%), LAPTE praf intregral 5.5%, ciocolata 1.5% (zahar, masa de cacao, unt de cacao, emulgator: lecitina de SOIA, vanilina), cacao degresata pudra, emulgator: lecitina de SOIA, agenti de afanare (bicarbonat de sodiu, bicarbonat de amoniu), sare, vanilina.","Contine: gluten, lapte, alune de padure si soia."
Ciocolata 70% cacao cu crema de rom 88g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-70-cacao-cu-crema-de-rom-88g/p/38054,29 g/100 g,482 kcal/100 g,44 g/100 g,N/A,0.02 g/100 g,6.30 g/100 g,18 g/100 g,"Zahar, masa de cacao, pudra de cacao cu continut redus de grasime, unt de cacao, sirop de glucoza, sirop de glucoza-fructoza, grasime vegetala (ulei de palmier, ulei de shea), grasime vegetala(ulei de shea, ulei de palmier, ulei de palmier partial hidrogenat), agent de umezire(sorbitol), alcool etilic rafinat de origine agricola, derivat din ZER pudra (din LAPTE), LAPTE praf degresat, rom 0.1%, stabilizator(invertaza), emulsifianti (lecitina din SOIA,poliglicerina), arome.","Lapte, soia. Poate contine arahide, fructe cu coaja lemnoasa, cocos, gluten, oua."
Praline cu crema de alune 110g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Praline-cu-crema-de-alune-110g/p/81401,33 g/100 g,547 kcal/100 g,57 g/100 g,1.9 g/100 g,0.35 g/100 g,5.2 g/100 g,18 g/100 g,"Zahar, unt de cacao, ulei de palmier, masa de cacao, zer praf (din lapte), LAPTE praf degresat, grasime din LAPTE, pasta de ALUNE DE PADURE, emulsifianti (lecitine din SOIA), E476), arome (contin LAPTE). Crema de alune contine 5% pasta de alune de padure.","Lapte, alune de padure, soia. Poate contine alte fructe cu coaja lemnoasa."
Ciocolata lapte cu umplutura cu bucati de nuca 90g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-lapte-cu-umplutura-cu-bucati-de-nuca-90g/p/47765,35 g/100 g,557 kcal/100 g,55 g/100 g,N/A,0.13 g/100 g,5.21 g/100 g,22 g/100 g,N/A,"Lapte, alune de padure, grau, migdale, soia. Poate contine bucati de coaja."
Bile cu miere si cacao 235g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Bile-cu-miere-si-cacao-235g/p/26907,22 g/100  g,427 kcal/100 g,49 g/100 g,N/A,0.58 g/100 g,6.5 g/100 g,14 g/100 g,"LAPTE condensat indulcit cu cacao (LAPTE, zahar, sirop de glucoza, cacao cu continut redus de grasime), margarina (ulei de palmier, apa, ulei de cocos hidrogenat complet, ulei de rapita, emulgator (mono si digliceride ale acizilor grasi, lecitina de floarea-soarelui), sare, regulator de aciditate (Acid citric), arome), faina de GRAU imbogatita (faina de GRAU, fumarat feros, niacina, acid folic, vitamina B1, vitamina B2), zahar, melanj de OUA, miere 2.6%, cacao cu continut redus de grasime 1.2%, apa, grasimi de shea, emulgator (lecitina de SOIA, poliglicerol poliricinoleat), agent de afanare (Soda alimentara, dihidrogenfosfat de sodiu), praf de GALBENUS, amidon de porumb, otet, sare, aroma naturala de vanilie, aroma (etilvanilina).","Contine lapte, gluten, oua si soia. Poate contine urme de nucsoara."
Ciocolata cu lapte si biscuiti Oreo 92g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-si-biscuiti-Oreo-92g/p/48832,27 g/100 g,518 kcal/100 g,60 g/100 g,2.2 g/100 g,0.60 g/100 g,6.2 g/100 g,16 g/100 g,"Zahar, faina de GRAU, unt de cacao, LAPTE praf degresat, grasime vegetala de palmier, masa de cacao, zer praf (din LAPTE), grasime din LAPTE, cacao cu continut redus de grasime (1.5%), sirop de glucoza-fructoza, amidon din GRAU, emulsifianti (lecitina din SOIA, lecitina din floarea soarelui), agenti de afanare (carbonati de potasiu, carbonati de amoniu, carbonati de sodiu), sare, arome. Crema de lapte contine 7% lapte praf degresat.","Grau, soia, lapte. Poate contine fructe cu coaja lemnoasa."
Ciocolata cu crema de lamaie 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-crema-de-lamaie-100g/p/19655,16 g/100 g,444 kcal/100 g,72 g/100 g,N/A,0.03 g/100 g,2.2 g/100 g,8.4 g/100 g,"Zahar, masa de cacao, apa, sirop de glucoza, unt de cacao, grasime de rapita (partial hidrogenata), amidon modificat din cartofi, emulsifiant: lecitine din floarea-soarelui, acidifiant: acid citric, ulei de lamaie.","Poate contine urme de fructe cu coaja lemnoasa, arahide, soia, oua, lapte si cereale care contin gluten."
Praline de ciocolata cu cireasa intreaga in lichior 157g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Praline-de-ciocolata-cu-cireasa-intreaga-in-lichior-157g/p/25895,20.3 g/100 g,455 kcal/100 g,52.8 g/100 g,N/A,0.005 g/100 g,3 g/100 g,13.2 g/100 g,"Ciocolata 49% (zahar, masa de cacao, unt de cacao, unt de cacao, emulgator: lecitina (SOIA), vanilina), zahar, cireasa intreaga (18%), lichior 13% (sirop de glucoza, apa, alcool, zahar, aroma), unt de cacao. Substanta uscata de cacao min. 43% in ciocolata.",Contine soia. Poate contine lapte.
Batoane de ciocolata cu crema de banane 150g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Batoane-de-ciocolata-cu-crema-de-banane-150g/p/84094,12.0 g/100 g,396 kcal/100 g,70 g/100 g,N/A,0.02 g/100 g,1.8 g/100 g,7.2 g/100 g,"Zahar, sirop de glucoza-fructoza, pasta de cacao, unt de cacao, pulpa de banane (8% in spuma), agent de umezire: sorbitol, gelatina, agent gelatinizant: agar-agar, acidifiant: acid citric, arome, emulgator: lecitina de SOIA, colorant: curcumina, amidon din GRAU.",Contine soia si gluten. Poate contine urme de lapte.
Biscuiti Oreo in ciocolata cu lapte alpin 300g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Biscuiti-Oreo-in-ciocolata-cu-lapte-alpin-300g/p/5598,34 g/100 g,552 kcal/100 g,56 g/100 g,1.5 g/100 g,0.53 g/100 g,5.4 g/100 g,19 g/100 g,"Zahar, grasime de palmier, faina de GRAU, LAPTE praf degresat, zer praf (din LAPTE), unt de cacao, masa de cacao, grasime din LAPTE, cacao cu continut redus de grasime (1%), amidon din GRAU, sirop de glucoza, emulsifiant (lecitina din SOIA), pasta de ALUNE de padure, agenti de afanare (carbonati de potasiu, carbonati de amoniu, carbonati de sodiu), sare, arome. Crema de lapte contine 7% LAPTE praf degresat. Cacao minimum 30% in ciocolata cu lapte alpin.","Contine: lapte, gluten, alune de padure si soia. Poate contine alte fructe cu coaja lemnoasa."
Trufe cu cacao 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Trufe-cu-cacao-200g/p/62492,47.8 g/100 g,614 kcal/100 g,38.8 g/100 g,N/A,0.35 g/100 g,4.2 g/100 g,39.1 g/100 g,"Grasime vegetale (de cocos, palmier, karite, floarea-soarelui, rapita in proportii variabile), zahar, pudra de cacao alcalinizata dietetica 13%, ZER praf (LAPTE), aroma, agent de emulsifiere: lecitine.",Contine lapte. Poate contine urme de nuci.
Bomboane de ciocolata in forma de fructe de mare 195g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Bomboane-de-ciocolata-in-forma-de-fructe-de-mare-195g/p/16364,32.3 g/100 g,497 kcal/100 g,51.7 g/100 g,N/A,0.30 g/100 g,6.0 g/100 g,18.2 g/100 g,"Zahar 28%, unt de cacao, masa de cacao, LAPTE praf integral, indulcitor: maltitol 9%, LACTOZA, grasime vegetala (cocos, palmier, karite, floarea-soarelui, rapita in proportii variate), MIGDALE, ALUNE, arome, ZER praf (LAPTE), LAPTE praf degresat, zahar din trestie, pudra de cacao alcalinizata dietetica, stafide, NUCI Caju, cafea pudra, agenti de ingrosare: lecitine, lecitine (SOIA), E414, bucati de cacao, coloranti: E162, E160a, E120, E163, Negru carbune E153, paprika, faina de porumb, sirop deglucoza, agent de incarcare: carbonat de calciu, sare, amidon din cartofi, stabilizator: glicerol E422, sorbitol E420ii, E492, E401, pudra de ghimbir, banana, seminte de vanilie, acid citric, zest de portocala, dextroza, zahar caramelizat, grasime anhidra din LAPTE, sirop de zahar inversat, pudra de roscove, faina de orez, nucsoara, mirodenie, nuca de cocos rasa, zahar candel, pudra de merisoare, conservant: E202, ceai verde, bucati de merisor, cafea solubila, pudra de goji,pudra de zmeura,afine","Contine: lapte, lactoza, migdale, alune, nuci caju, soia, gluten. Poate contine urme de alte nuci."
Ciocolata amaruie cu lamaie si menta 80g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-amaruie-cu-lamaie-si-menta-80g/p/64613,33 g/100 g,539 kcal/100 g,51 g/100 g,N/A,0.01 g/100 g,4.4 g/100 g,22 g/100 g,"Zahar, masa de cacao, unt de cacao, granule de lamaie 3% (sucroza, lamaie deshidratata 10%, fructoza, corector de aciditate: acid citric), menta macinata 0.5%, emulsificator: lecitina din SOIA, arome: extract natural de vanilie si menta. Substanta uscata de cacao, in ciocolata: 50% min.","Soia. Produs pe echipamente care proceseaza fructe nucifere, gluten si lapte."
Baton de ciocolata 94g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-ciocolata-94g/p/12741,33.8 g/100 g,561 kcal/100 g,54.9 g/100 g,N/A,0.275 g/100 g,8.6 g/100 g,N/A,"Ciocolata cu lapte 33.5% (zahar, unt de cacao, lapte praf integral, masa de cacao, emulgator (lecitina din soia), vanilina), zahar, lapte praf degresat, ulei de palmier, cereale expandate 7,5% (orz, orez, grau imbracat, alac, hrisca), unt deshidratat, emulgator (lecitina din soia), vanilina.","Lapte, grau, orz, alac, unt, soia."
"Biscuit si caramel, invelite in ciocolata alba 46g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Biscuit-si-caramel-invelite-in-ciocolata-alba-46g/p/10148,25 g/100 g,502 kcal/100 g,64 g/100 g,N/A,0.41 g/100 g,4.8 g/100 g,15 g/100 g,"Zahar, sirop de glucoza, faina de GRAU, grasime de palmier, unt de cacao, LAPTE praf integral, LAPTE praf degresat, cacao cu continut redus de grasime, sare, emulsifiant (lecitina din SOIA), agent de afanare (E500), extract natural de vanilie.","Contine gluten, lapte si soia. Poate contine: aluna de padure, migdala, orz, ovaz."
Ciocolata neagra cu cacao 72% 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-neagra-cu-cacao-72-100g/p/90862,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ciocolata amaruie cu alune 100g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-amaruie-cu-alune-100g/p/37159,38 g/100 g,559 kcal/100 g,43 g/100 g,N/A,<0.01 g/100 g,6.70 g/100 g,20 g/100 g,"Zahar, pasta de cacao, unt de cacao, ALUNE DE PADURE 10%, UNT concentrat, emulsifiant (lecitine(SOIA)), extract de vanilie.","Alune de padure, unt. Poate contine urme de arahide, alte fructe cu coaja lemnoasa, gluten si oua."
Butoiase de ciocolata neagra cu umplutura de alcool 200g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Butoiase-de-ciocolata-neagra-cu-umplutura-de-alcool-200g/p/14468,18 g/100 g,419 kcal/100 g,56 g/100 g,3 g/100 g,< 0.01 g/100 g,3 g/100 g,11 g/100 g,"Ciocolata neagra 50%(zahar,masa de cacao,unt de cacao,grasimi din LAPTE,emulsifiant:lecitina din SOIA,aroma),sirop de glucoza,zahar,Lapte condensat indulcit,alcool 4%,suc de lamaie concentrat,suc de portocale concentrat,arome,colorant(extract de ardei rosu,E150c).Ciocolata neagra:substanta uscata de cacao 45% minimum.","Lapte, soia. Poate contine arahide, nuci, cereale, oua."
"Specialitati crocante de napolitana, acoperite cu alune si ciocolata cu lapte 50g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Specialitati-crocante-de-napolitana-acoperite-cu-alune-si-ciocolata-cu-lapte-50g/p/70545,42.7 g/100 g,603 kcal/100 g,44.4 g/100 g,N/A,0.153 g/100 g,6.2 g/100 g,14.1 g/100 g,"Ciocolata cu lapte 30% (zahar, unt de cacao, masa de cacao, lapte praf degresat, unt deshidratat, emulgator: lecitina din soia, vanilina), alune (28,5%), zahar, ulei vegetal, faina de grau, zer praf, cacao degresata pudra, emulgator: lecitina (soia), agent de afanare (bicarbonat de sodiu), sare, vanilina.",Substanta uscata de cacao min. 25% in ciocolata cu lapte.
Ciocolata cu umplutura de lapte si cereale 47g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Ciocolata-cu-umplutura-de-lapte-si-cereale-47g/p/9380,33.8 g/100 g,561 kcal/100 g,54.9 g/100 g,N/A,0.275 g/100 g,8.6 g/100 g,21.9 g/100 g,"Ciocolata cu LAPTE 33.5% (zahar, unt de cacao, LAPTE praf integral, masa de cacao, emulgator (lecitina (SOIA), vanilina), zahar, LAPTE praf degresat (17.5%), ulei de palmier, cereale expandate 7.5% (ORZ, orez, GRAU, GRAU (spelt), hrisca), UNT deshidratat, emulgator: lecitina (SOIA), vanilina. Substanta uscata de cacao min.30% in ciocolata cu lapte.","Contine: lapte, soia, gluten."
Bomboane Chisinaul de seara 250g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Bomboane-Chisinaul-de-seara-250g/p/2530,12.8 g/100 g,370 kcal/100 g,61 g/100 g,N/A,N/A,2.9 g/100 g,6.5 g/100 g,"Prune fara samburi, glazura de ciocolata (zahar, masa de cacao, echivalent al untului de cacao (ulei de palmier, ulei de shea), pudra de cacao, emulsifianti: lecitina din SOIA, E476, vanilina), zahar, stafide, acidifiant: acid citric. Continutul de cacao: 13% min.",Contine soia.
Baton de ciocolata cu crema de cafea 47g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-ciocolata-cu-crema-de-cafea-47g/p/2884,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baton de ciocolata cu crema de brandy si portocale 46g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-ciocolata-cu-crema-de-brandy-si-portocale-46g/p/2879,22 g/100 g,459 kcal/100 g,60 g/100 g,N/A,0.1 g/100 g,4.6 g/100 g,13 g/100 g,"Zahar, masa de cacao, sirop de glucoza-fructoza, sirop de glucoza, grasimi vegetale (palmier, shea), unt de cacao, pudra de cacao cu continut redus de grasime, agent de umezire (sorbitol), LAPTE praf degresat, alcool etilic rafinat de origine agricola, pudra de portocale 0.1% (pulbere din suc de portocale, maltodextrina), brandy 0.1%, stabilizator (invertaza), emulsifiant (lecitina din SOIA), arome. Ciocolata contine si alte grasimi vegetale pe langa untul de cacao. Continut de alcool: max.0.9%.","Contine: lapte si soia. Poate contine urme de arahide, fructe cu coaja lemnoasa, gluten, oua, cocos."
"Prune cu crema de cacao, glazurate in ciocolata amaruie 185g",https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Prune-cu-crema-de-cacao-glazurate-in-ciocolata-amaruie-185g/p/31498,15 g/100 g,399 kcal/100 g,58 g/100 g,N/A,0.08 g/100 g,4.2 g/100 g,10.5 g/100 g,"Prune confiate (55%) (prune 23.1%, zahar, sirop de glucoza - fructoza, corector de aciditate: acid citric), ciocolata 21% (zahar, cacao, grasimi vegetale (palmier, shea, sal, sambure de mango) in proportii variate, unt de cacao, grasime din LAPTE, emulsifiant: lecitine (din SOIA) si E476, aroma), grasime vegetala (palmier), zahar, pudra de cacao cu continut redus de grasime 4.5%, LAPTE praf degresat, zer praf (din LAPTE), LAPTE praf integral, emulsifiant: lecitine (din SOIA), aroma.","Contine lapte si soia. Poate contine grau, alune si alte fructe cu coaja lemnoasa."
Ciocolata cu lapte si alune 90g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-lapte-si-alune-90g/p/2687,43.1 g/100 g,601 kcal/ 100 g,45.7 g/100 g,N/A,0.147 g/100 g,6.2 g/100 g,"21,6 g/100g","Zahar,unt de cacao,ALUNE DE PADURE(16%),masa de cacao,ulei de palmier,LAPTE praf degresat, zer pudra(LAPTE),concentrat de UNT, pudra de cacao cu continut redus de grasime,emulsifiant (lecitina de SOIA), arome.","Alune de padure,lapte,soia.Poate contine urme de migdale, nuci caju,nuci pecan,fistic, nuci de macadamia."
Baton de ciocolata alba cu crema rom si cocos 44.5g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Baton-de-ciocolata-alba-cu-crema-rom-si-cocos-44-5g/p/3823,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zahar, unt de cacao, LAPTE praf integral, grasimi vegetale (ulei de palmier, ulei de shea), LAPTE praf degresat, zer praf (din LAPTE), sirop de glucoza, fulgi de cocos 1%, agent de umezire (sorbitol), pudra de cacao cu continut redus de grasime, rom 0.1%, stabilizator(invertaza), emulsifianti (lecitina din SOIA, poliricinoleat de poliglicerina), arome.","Lapte, soia. Poate contine arahide, fructe cu coaja lemnoasa, gluten, oua."
Ciocolata lapte cu biscuiti si aroma de amandina 90g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-lapte-cu-biscuiti-si-aroma-de-amandina-90g/p/47791,32 g/100 g,541 kcal/100 g,56 g/100 g,N/A,0.11 g/100 g,5.26 g/100 g,21 g/100 g,"Zahar, unt de cacao, LAPTE praf integral, masa de cacao,grasimi vegetale (palmier, shea), cacao pudra 5%, LAPTE praf degresat, biscuiti 1% (faina de GRAU, zahar, malt de GRAU, agenti de afanare: bicarbonat de sodiu, emulsifiant: lecitina din floarea soarelui, sare, aroma de vanilie naturala), grasimi din LAPTE, emulsifiant: lecitine (SOIA), arome naturale.","Lapte, grau, soia."
Batoane de ciocolata cu banane 110g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Batoane-de-ciocolata-cu-banane-110g/p/50987,11 g/100 g,374 kcal/100 g,66.5 g/100 g,N/A,0.02 g/100 g,1.7 g/100 g,6.7 g/100 g,"Zahar, sirop de glucoza fructoza, masa de cacao, unt de cacao, pulpa de babane, agent umidificator (sorbitol), gelatina, gelifiant (agar-agar), acidifiant (acid citric), arome, emulsificator (lecitina de soia), colorant (curcumina), amidon de grau.","Soia, amidon de grau. Poate contine urme de lapte si nuci."
Ciocolata cu arahide si caramel 90g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Tablete/Ciocolata-cu-arahide-si-caramel-90g/p/48855,31 g/100 g,538 kcal/100 g,54 g/100 g,2.7 g/100 g,0.36 g/100 g,9.2 g/100 g,16 g/100 g,"Zahar, unt de cacao, arahide, lapte praf degresat, masa de cacao, zer praf (din lapte), grasime din lapte, faina de orez, emulsifianti (lecitina din soia, E476), sirop de glucoza, pastra de alune de padure, faina de porumb, sare, arome, coloranti (beta-caroten, E150d), extract de malt de orz.","Arahide, lapte, alune de padure, soia, orz. Poate contine alte fructe cu coaja lemnoasa si grau."
Specialitati de ciocolata amaruie asortata 250g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Praline-si-bomboane/Specialitati-de-ciocolata-amaruie-asortata-250g/p/76853,34.4 g/100 g,548 kcal/100 g,49.8 g/100 g,N/A,0.14 g/100 g,7.5 g/100 g,19.7 g/100 g,"Zahar, masa de cacao, unt de cacao, FRISCA praf, MIGDALE, grasimi vegetale, LAPTE praf integral, produse din ZER, LACTOZA, cacao cu continut redus de grasime, LAPTE praf degresat, grasimi din UNT, fructoza, cafea, emulsificator: lecitina din SOIA, sirop de glucoza, sirop de zahar invertit, praf de UNT din LAPTE, dextroza, arome, sare.","Toate sortimentele pot contine bucati de alune, migdale, arahide si alte fructe in coaja si ou."
Batoane B-ready 6x22g,https://www.mega-image.ro/Dulciuri-si-snacks/Ciocolata/Batoane/Batoane-B-ready-6x22g/p/30829,27 g/100 g,521 kcal/100 g,60.7 g/100 g,N/A,0.559 g/100 g,7.2 g/100 g,9.5g/100 g,"Crema de ALUNE DE PADURE cu cacao 81.5% (zahar, ulei de palmier, ALUNE de padure (13%), cacao degresata pudra (7.4%), LAPTE praf degresat (8.7%), zer praf, emulgator (lecitina din SOIA), vanilina), napolitana 16% (faina de GRAU, drojdie, extract pudra de malt din ORZ, sare, LAPTE praf degresat, emulgator (lecitina din SOIA), proteine din GRAU, proteine din LAPTE), specialitati crocante de GRAU 2% (faina de GRAU, drojdie, extract de malt din ORZ, sare, LAPTE praf degresat, emulgator (lecitina dinSOIA), proteine din GRAU, proteine din LAPTE).","Lapte, orz, soia, grau, alune de padure."
